city,high,low,measurement,midnight,pollutant,site,year
Amsterdam,17.117522655105745,20.224324320240243,µg/m3,21.42492492165165,PM10,STA-NL00012,2016.0
Amsterdam,14.566066061891892,16.440895518985077,µg/m3,17.922356491540786,PM10,STA-NL00014,2016.0
Amsterdam,17.466360852966364,21.158484845151516,µg/m3,22.717272723333334,PM10,STA-NL00016,2016.0
Amsterdam,18.708256876819572,19.675449098233535,µg/m3,20.30360359963964,PM10,STA-NL00017,2016.0
Amsterdam,20.625147925621302,21.15545722345133,µg/m3,22.09556212642012,PM10,STA-NL00020,2016.0
Amsterdam,22.75679451772603,18.10560439225275,µg/m3,20.07561983129477,PM10,STA-NL00545,2016.0
Amsterdam,20.946865668149258,22.431343279462688,µg/m3,23.920474773679526,PM10,STA-NL00701,2016.0
Amsterdam,21.502528086404496,20.868945865270657,µg/m3,21.554390930906518,PM10,STA-NL00007,2017.0
Amsterdam,19.047471906544942,21.29859154540845,µg/m3,22.040112990536723,PM10,STA-NL00012,2017.0
Amsterdam,16.142178767374304,17.079943499067795,µg/m3,17.220113311246457,PM10,STA-NL00014,2017.0
Amsterdam,20.064723029067054,22.295223876805974,µg/m3,21.994524491873197,PM10,STA-NL00016,2017.0
Amsterdam,19.038920451505682,19.4822535176338,µg/m3,20.623728809717516,PM10,STA-NL00017,2017.0
Amsterdam,21.395856349723754,22.03922651544199,µg/m3,23.90886426252078,PM10,STA-NL00020,2017.0
Amsterdam,19.21274787209632,20.478651682528092,µg/m3,20.774929573802815,PM10,STA-NL00701,2017.0
Amsterdam,21.332303367556182,20.3427762005949,µg/m3,21.180626777293448,PM10,STA-NL00007,2018.0
Amsterdam,19.648158636770543,21.88222221866667,µg/m3,23.122777774666666,PM10,STA-NL00012,2018.0
Amsterdam,17.92039105810056,18.848189411977714,µg/m3,19.733240219581006,PM10,STA-NL00014,2018.0
Amsterdam,20.06158357407625,21.63008849159292,µg/m3,22.971681412536874,PM10,STA-NL00016,2018.0
Amsterdam,19.753235290470588,20.08636363230303,µg/m3,21.236176466882352,PM10,STA-NL00017,2018.0
Amsterdam,20.868055552388892,21.15125347816156,µg/m3,23.43537604130919,PM10,STA-NL00020,2018.0
Amsterdam,18.58347825756522,19.395942025710145,µg/m3,20.291954019166667,PM10,STA-NL00701,2018.0
Amsterdam,12.30709876197531,13.526234564722222,µg/m3,14.981645566234178,PM2.5,STA-NL00007,2016.0
Amsterdam,11.26892307363077,15.149999996707315,µg/m3,16.73708206325228,PM2.5,STA-NL00012,2016.0
Amsterdam,8.752976187023808,11.386390528994083,µg/m3,12.406886224610776,PM2.5,STA-NL00014,2016.0
Amsterdam,12.292331284754601,14.93130698735562,µg/m3,15.252279631762919,PM2.5,STA-NL00016,2016.0
Amsterdam,11.400299397904192,12.410447758208957,µg/m3,12.651197601437126,PM2.5,STA-NL00017,2016.0
Amsterdam,10.904670326565933,12.215934062829671,µg/m3,12.863736260549452,PM2.5,STA-NL00701,2016.0
